relative_path,num_steps,safety_trigger_count,safety_trigger_ratio,bound_violation_count,norm_violation_count,jump_violation_count,workspace_violation_count,abnormal_sequence_count,rejected_action_count,raw_motion_norm_mean,raw_motion_norm_max,safe_motion_norm_mean,safe_motion_norm_max,raw_action_jump_mean,raw_action_jump_max,safe_action_jump_mean,safe_action_jump_max
task0_ep0/actions.npy,141,66,0.46808510638297873,61,0,8,0,16,0,0.7452208399772644,1.296600103378296,0.7358168363571167,1.296600103378296,0.16946765780448914,1.7713141441345215,0.16480401158332825,0.5
task0_ep1/actions.npy,76,41,0.5394736842105263,41,0,0,0,17,0,0.8728766441345215,1.1670273542404175,0.8728766441345215,1.1670273542404175,0.1330956071615219,0.4090408980846405,0.1330956071615219,0.4090408980846405
task0_ep10/actions.npy,104,62,0.5961538461538461,61,0,2,0,30,0,0.837801992893219,1.246765375137329,0.8354335427284241,1.246765375137329,0.1487620323896408,0.6831992268562317,0.14706829190254211,0.5
task0_ep11/actions.npy,73,44,0.6027397260273972,44,0,1,0,11,0,0.9630827307701111,1.3138563632965088,0.9627413749694824,1.3138563632965088,0.14247854053974152,0.5274197459220886,0.1424485296010971,0.4999999701976776
task0_ep12/actions.npy,78,53,0.6794871794871795,53,0,0,0,24,0,0.8654107451438904,1.2075825929641724,0.8654107451438904,1.2075825929641724,0.13287518918514252,0.35134008526802063,0.13287518918514252,0.35134008526802063
task0_ep13/actions.npy,110,75,0.6818181818181818,73,0,3,0,32,0,0.8637051582336426,1.283586025238037,0.8545905947685242,1.2711825370788574,0.13412682712078094,0.8718886375427246,0.13379722833633423,0.5
task0_ep14/actions.npy,77,35,0.45454545454545453,35,0,0,0,6,0,0.867464542388916,1.1807619333267212,0.867464542388916,1.1807619333267212,0.13679246604442596,0.33258381485939026,0.13679246604442596,0.33258381485939026
task0_ep15/actions.npy,75,45,0.6,45,0,1,0,17,0,0.8643775582313538,1.1988005638122559,0.8643670678138733,1.1988005638122559,0.13381953537464142,0.5023993253707886,0.1338152140378952,0.5
task0_ep16/actions.npy,71,38,0.5352112676056338,38,0,0,0,13,0,0.8747802376747131,1.149297833442688,0.8747802376747131,1.149297833442688,0.12593847513198853,0.4787449836730957,0.12593847513198853,0.4787449836730957
task0_ep17/actions.npy,74,42,0.5675675675675675,42,0,0,0,12,0,0.8814769387245178,1.1669281721115112,0.8814769387245178,1.1669281721115112,0.13582533597946167,0.3612549602985382,0.13582533597946167,0.3612549602985382
